Name, Contact Number, Pizza, Burger, Fries, Sandwich, Total Price, Date, Time
Tanmoy Sarker, Contact Number :, 1.00, 1.00, 2.00, 1.00, 450.00, 30-Jul-2026, 02:35 PM
Arup Das, Contact Number :, 1.00, 1.00, 1.00, 1.00, 390.00, 30-Jul-2026, 02:46 PM
Roton Mondal, Contact Number :, 1.00, 0.00, 2.00, 1.00, 370.00, 30-Jul-2026, 02:47 PM
Toana, Contact Number :, 11.00, 10.00, 5.00, 5.00, 3250.00, 30-Jul-2026, 02:55 PM
Tanmoy Sarker, Contact Number :, 2.00, 1.00, 1.00, 0.00, 440.00, 02-Aug-2026, 11:23 AM
Akash, Contact Number :, 1.00, 2.00, 2.00, 0.00, 500.00, 03-Aug-2026, 03:59 PM
Tanmoy Sarker, Contact Number :, 1.00, 1.00, 1.00, 0.00, 220.00, 16-Aug-2026, 11:28 PM
dthdrh, Contact Number :, 30.00, 24.00, 24.00, 30.00, 7500.00, 16-Aug-2026, 11:30 PM
orogerjwlsg, Contact Number :, 0.00, 5.00, 0.00, 0.00, 300.00, 17-Aug-2026, 12:11 PM
f, Contact Number :, 1.00, 1.00, 1.00, 1.00, 222.00, 17-Aug-2026, 01:28 PM
